top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation,layers_quantized
70.072,29.928,89.004,10.996,5.48,224,0.875,bicubic,"['conv_stem', 'act1']"
72.894,27.106,90.684,9.316,5.48,224,0.875,bicubic,['blocks.0.0.conv_dw']
75.754,24.246,92.438,7.562,5.48,224,0.875,bicubic,['blocks.0.0.conv_pw']
75.606,24.394,92.398,7.602,5.48,224,0.875,bicubic,['blocks.1.0.conv_pw']
75.704,24.296,92.514,7.486,5.48,224,0.875,bicubic,['blocks.1.0.conv_dw']
75.698,24.302,92.538,7.462,5.48,224,0.875,bicubic,['blocks.1.0.conv_pwl']
75.788,24.212,92.53,7.47,5.48,224,0.875,bicubic,['blocks.1.1.conv_pw']
75.754,24.246,92.508,7.492,5.48,224,0.875,bicubic,['blocks.1.1.conv_dw']
75.754,24.246,92.464,7.536,5.48,224,0.875,bicubic,['blocks.1.1.conv_pwl']
75.732,24.268,92.538,7.462,5.48,224,0.875,bicubic,['blocks.2.0.conv_pw']
75.764,24.236,92.536,7.464,5.48,224,0.875,bicubic,['blocks.2.0.conv_dw']
75.768,24.232,92.54,7.46,5.48,224,0.875,bicubic,['blocks.2.0.se.conv_reduce']
75.768,24.232,92.54,7.46,5.48,224,0.875,bicubic,"['blocks.2.0.se.conv_expand', 'blocks.2.0.se.gate']"
75.742,24.258,92.47,7.53,5.48,224,0.875,bicubic,['blocks.2.0.conv_pwl']
75.728,24.272,92.52,7.48,5.48,224,0.875,bicubic,['blocks.2.1.conv_pw']
75.776,24.224,92.542,7.458,5.48,224,0.875,bicubic,['blocks.2.1.conv_dw']
75.77,24.23,92.524,7.476,5.48,224,0.875,bicubic,['blocks.2.1.se.conv_reduce']
75.746,24.254,92.522,7.478,5.48,224,0.875,bicubic,"['blocks.2.1.se.conv_expand', 'blocks.2.1.se.gate']"
75.78,24.22,92.526,7.474,5.48,224,0.875,bicubic,['blocks.2.1.conv_pwl']
75.744,24.256,92.528,7.472,5.48,224,0.875,bicubic,['blocks.2.2.conv_pw']
75.774,24.226,92.556,7.444,5.48,224,0.875,bicubic,['blocks.2.2.conv_dw']
75.78,24.22,92.548,7.452,5.48,224,0.875,bicubic,['blocks.2.2.se.conv_reduce']
75.764,24.236,92.528,7.472,5.48,224,0.875,bicubic,"['blocks.2.2.se.conv_expand', 'blocks.2.2.se.gate']"
75.744,24.256,92.526,7.474,5.48,224,0.875,bicubic,['blocks.2.2.conv_pwl']
75.626,24.374,92.444,7.556,5.48,224,0.875,bicubic,"['blocks.3.0.conv_pw', 'blocks.3.0.act1']"
75.676,24.324,92.444,7.556,5.48,224,0.875,bicubic,"['blocks.3.0.conv_dw', 'blocks.3.0.act2']"
75.814,24.186,92.534,7.466,5.48,224,0.875,bicubic,['blocks.3.0.conv_pwl']
75.436,24.564,92.336,7.664,5.48,224,0.875,bicubic,"['blocks.3.1.conv_pw', 'blocks.3.1.act1']"
75.256,24.744,92.312,7.688,5.48,224,0.875,bicubic,"['blocks.3.1.conv_dw', 'blocks.3.1.act2']"
75.75,24.25,92.502,7.498,5.48,224,0.875,bicubic,['blocks.3.1.conv_pwl']
75.722,24.278,92.494,7.506,5.48,224,0.875,bicubic,"['blocks.3.2.conv_pw', 'blocks.3.2.act1']"
75.752,24.248,92.538,7.462,5.48,224,0.875,bicubic,"['blocks.3.2.conv_dw', 'blocks.3.2.act2']"
75.76,24.24,92.516,7.484,5.48,224,0.875,bicubic,['blocks.3.2.conv_pwl']
75.736,24.264,92.498,7.502,5.48,224,0.875,bicubic,"['blocks.3.3.conv_pw', 'blocks.3.3.act1']"
75.752,24.248,92.476,7.524,5.48,224,0.875,bicubic,"['blocks.3.3.conv_dw', 'blocks.3.3.act2']"
75.782,24.218,92.514,7.486,5.48,224,0.875,bicubic,['blocks.3.3.conv_pwl']
74.908,25.092,92.188,7.812,5.48,224,0.875,bicubic,"['blocks.4.0.conv_pw', 'blocks.4.0.act1']"
74.936,25.064,92.076,7.924,5.48,224,0.875,bicubic,"['blocks.4.0.conv_dw', 'blocks.4.0.act2']"
75.756,24.244,92.514,7.486,5.48,224,0.875,bicubic,['blocks.4.0.se.conv_reduce']
75.764,24.236,92.534,7.466,5.48,224,0.875,bicubic,"['blocks.4.0.se.conv_expand', 'blocks.4.0.se.gate']"
75.716,24.284,92.538,7.462,5.48,224,0.875,bicubic,['blocks.4.0.conv_pwl']
75.716,24.284,92.492,7.508,5.48,224,0.875,bicubic,"['blocks.4.1.conv_pw', 'blocks.4.1.act1']"
75.734,24.266,92.45,7.55,5.48,224,0.875,bicubic,"['blocks.4.1.conv_dw', 'blocks.4.1.act2']"
75.77,24.23,92.526,7.474,5.48,224,0.875,bicubic,['blocks.4.1.se.conv_reduce']
75.768,24.232,92.518,7.482,5.48,224,0.875,bicubic,"['blocks.4.1.se.conv_expand', 'blocks.4.1.se.gate']"
75.75,24.25,92.526,7.474,5.48,224,0.875,bicubic,['blocks.4.1.conv_pwl']
75.386,24.614,92.304,7.696,5.48,224,0.875,bicubic,"['blocks.5.0.conv_pw', 'blocks.5.0.act1']"
75.408,24.592,92.318,7.682,5.48,224,0.875,bicubic,"['blocks.5.0.conv_dw', 'blocks.5.0.act2']"
75.758,24.242,92.534,7.466,5.48,224,0.875,bicubic,['blocks.5.0.se.conv_reduce']
75.738,24.262,92.512,7.488,5.48,224,0.875,bicubic,"['blocks.5.0.se.conv_expand', 'blocks.5.0.se.gate']"
75.736,24.264,92.518,7.482,5.48,224,0.875,bicubic,['blocks.5.0.conv_pwl']
75.686,24.314,92.466,7.534,5.48,224,0.875,bicubic,"['blocks.5.1.conv_pw', 'blocks.5.1.act1']"
75.752,24.248,92.448,7.552,5.48,224,0.875,bicubic,"['blocks.5.1.conv_dw', 'blocks.5.1.act2']"
75.79,24.21,92.514,7.486,5.48,224,0.875,bicubic,['blocks.5.1.se.conv_reduce']
75.768,24.232,92.524,7.476,5.48,224,0.875,bicubic,"['blocks.5.1.se.conv_expand', 'blocks.5.1.se.gate']"
75.762,24.238,92.532,7.468,5.48,224,0.875,bicubic,['blocks.5.1.conv_pwl']
75.696,24.304,92.492,7.508,5.48,224,0.875,bicubic,"['blocks.5.2.conv_pw', 'blocks.5.2.act1']"
75.524,24.476,92.384,7.616,5.48,224,0.875,bicubic,"['blocks.5.2.conv_dw', 'blocks.5.2.act2']"
75.784,24.216,92.52,7.48,5.48,224,0.875,bicubic,['blocks.5.2.se.conv_reduce']
75.744,24.256,92.53,7.47,5.48,224,0.875,bicubic,"['blocks.5.2.se.conv_expand', 'blocks.5.2.se.gate']"
75.746,24.254,92.532,7.468,5.48,224,0.875,bicubic,['blocks.5.2.conv_pwl']
75.684,24.316,92.534,7.466,5.48,224,0.875,bicubic,"['blocks.6.0.conv', 'blocks.6.0.act1']"
75.7,24.3,92.526,7.474,5.48,224,0.875,bicubic,"['conv_head', 'act2']"
75.75,24.25,92.53,7.47,5.48,224,0.875,bicubic,['classifier']
